Year,State,Deaths,Income
2015,South Carolina,47198.0,40053.0
2015,South Dakota,7731.0,49186.0
2015,Tennessee,66570.0,42535.0
2015,Texas,189654.0,47465.0
2015,Utah,17334.0,40459.0
2015,Vermont,5919.0,48876.0
2015,Virginia,65577.0,52238.0
2015,Washington,54595.0,53083.0
2015,West Virginia,22752.0,37468.0
2015,Wisconsin,51264.0,46548.0
2015,Wyoming,4778.0,57846.0
2014,Alabama,50215.0,37055.0
2014,Alaska,4128.0,55867.0
2014,Arizona,51538.0,38756.0
2014,Arkansas,30467.0,38749.0
2014,California,245929.0,51266.0
2014,Colorado,35237.0,50797.0
2014,Connecticut,29860.0,65498.0
2014,Delaware,8260.0,46015.0
2014,District of Columbia,4723.0,71469.0
2014,Florida,185956.0,43516.0
2014,Georgia,76887.0,39969.0
2014,Hawaii,10767.0,46044.0
2014,Idaho,12613.0,37680.0
2014,Illinois,105293.0,49238.0
2014,Indiana,60940.0,41188.0
2014,Iowa,29190.0,44699.0
2014,Kansas,25793.0,47013.0
2014,Kentucky,44838.0,37645.0
2014,Louisiana,43869.0,43085.0
2014,Maine,13510.0,41797.0
2014,Maryland,45867.0,53659.0
2014,Massachusetts,55200.0,58924.0
2014,Michigan,93914.0,41207.0
2014,Minnesota,41445.0,49967.0
2014,Mississippi,30557.0,34896.0
2014,Missouri,58320.0,41963.0
2014,Montana,9381.0,42494.0
2014,Nebraska,15978.0,48957.0
2014,Nevada,21793.0,41773.0
2014,New Hampshire,11516.0,52643.0
2014,New Jersey,71316.0,57065.0
2014,New Mexico,17579.0,37219.0
2014,New York,149944.0,55290.0
2014,North Carolina,85367.0,40293.0
2014,North Dakota,6184.0,57523.0
2014,Ohio,114509.0,42829.0
2014,Oklahoma,38464.0,46614.0
2014,Oregon,34151.0,42134.0
2014,Pennsylvania,128434.0,48063.0
2014,Rhode Island,9770.0,47199.0
2014,South Carolina,45454.0,38152.0
2014,South Dakota,7507.0,47488.0
2014,Tennessee,64661.0,40753.0
2014,Texas,183912.0,47370.0
2014,Utah,16719.0,38168.0
2014,Vermont,5623.0,47641.0
2014,Virginia,63598.0,50318.0
2014,Washington,52099.0,50890.0
2014,West Virginia,22186.0,36570.0
2014,Wisconsin,50291.0,44709.0
2014,Wyoming,4666.0,57749.0
2013,Alabama,50189.0,36014.0
2013,Alaska,3997.0,52812.0
2013,Arizona,50534.0,37139.0
2013,Arkansas,30437.0,36677.0
2013,California,248359.0,48502.0
2013,Colorado,33712.0,47404.0
2013,Connecticut,29632.0,62647.0
2013,Delaware,7967.0,44404.0
2013,District of Columbia,4719.0,67774.0
2013,Florida,181112.0,41162.0
2013,Georgia,75088.0,37794.0
2013,Hawaii,10505.0,43931.0
2013,Idaho,12434.0,36095.0
2013,Illinois,103401.0,47047.0
2013,Indiana,60716.0,39766.0
2013,Iowa,28948.0,43439.0
2013,Kansas,25414.0,46174.0
2013,Kentucky,43759.0,36058.0
2013,Louisiana,43270.0,41376.0
2013,Maine,13547.0,40329.0
2013,Maryland,45689.0,52249.0
2013,Massachusetts,54567.0,56628.0
2013,Michigan,92408.0,39566.0
2013,Minnesota,40987.0,47838.0
2013,Mississippi,30703.0,34259.0
2013,Missouri,57444.0,40569.0
2013,Montana,9511.0,40674.0
2013,Nebraska,15754.0,46653.0
2013,Nevada,21468.0,39664.0
2013,New Hampshire,10897.0,50865.0
2013,New Jersey,71403.0,54813.0
2013,New Mexico,16805.0,35088.0
2013,New York,150919.0,53395.0
2013,North Carolina,83329.0,38394.0
2013,North Dakota,6233.0,54900.0
2013,Ohio,113258.0,41259.0
2013,Oklahoma,38384.0,44017.0
2013,Oregon,33939.0,39788.0
2013,Pennsylvania,129123.0,46213.0
2013,Rhode Island,9792.0,45447.0
2013,South Carolina,44582.0,36204.0
2013,South Dakota,7099.0,45608.0
2013,Tennessee,63406.0,39454.0
2013,Texas,179183.0,44816.0
2013,Utah,16366.0,36511.0
2013,Vermont,5639.0,45770.0
2013,Virginia,62716.0,48573.0
2013,Washington,51264.0,47857.0
2013,West Virginia,21843.0,35318.0
2013,Wisconsin,50026.0,43050.0
2013,Wyoming,4516.0,53776.0
2012,Alabama,49301.0,35824.0
2012,Alaska,3912.0,53708.0
2012,Arizona,49549.0,36545.0
2012,Arkansas,30117.0,36582.0
2012,California,242554.0,48121.0
2012,Colorado,33133.0,45630.0
2012,Connecticut,29316.0,64121.0
2012,Delaware,7875.0,44070.0
2012,District of Columbia,4650.0,68148.0
2012,Florida,177291.0,41540.0
2012,Georgia,72847.0,37495.0
2012,Hawaii,10274.0,43812.0
2012,Idaho,11998.0,35110.0
2012,Illinois,102433.0,46029.0
2012,Indiana,59332.0,39433.0
2012,Iowa,28389.0,42873.0
2012,Kansas,25145.0,45294.0
2012,Kentucky,43664.0,35875.0
2012,Louisiana,42320.0,41003.0
2012,Maine,12870.0,40411.0
2012,Maryland,44477.0,52787.0
2012,Massachusetts,53177.0,56669.0
2012,Michigan,89901.0,39266.0
2012,Minnesota,40016.0,47726.0
2012,Mississippi,29544.0,33657.0
2012,Missouri,56094.0,40317.0
2012,Montana,8976.0,40701.0
2012,Nebraska,15659.0,46670.0
2012,Nevada,20785.0,39909.0
2012,New Hampshire,10730.0,51123.0
2012,New Jersey,70534.0,54574.0
2012,New Mexico,16710.0,35749.0
2012,New York,148991.0,53102.0
2012,North Carolina,81925.0,39103.0
2012,North Dakota,6038.0,56443.0
2012,Ohio,112498.0,40759.0
2012,Oklahoma,36870.0,42232.0
2012,Oregon,32759.0,39371.0
2012,Pennsylvania,126981.0,45855.0
2012,Rhode Island,9354.0,45601.0
2012,South Carolina,43198.0,35989.0
2012,South Dakota,7333.0,45442.0
2012,Tennessee,61956.0,39373.0
2012,Texas,174187.0,44241.0
2012,Utah,15676.0,36005.0
2012,Vermont,5491.0,45277.0
2012,Virginia,61564.0,49309.0
2012,Washington,50105.0,47320.0
2012,West Virginia,21915.0,35453.0
2012,Wisconsin,48384.0,42944.0
2012,Wyoming,4481.0,54213.0
